Designator,Mid X,Mid Y,Layer,Rotation
C1,176.1000,-117.4380,Bottom,0.000000
C2,179.7000,-117.4380,Bottom,0.000000
C3,177.9000,-120.5550,Bottom,0.000000
C4,174.3000,-120.5550,Bottom,0.000000
C5,172.5000,-117.4380,Bottom,0.000000
C6,174.3000,-114.3200,Bottom,0.000000
C7,103.2900,-103.3800,Bottom,0.000000
C8,204.7100,-89.3800,Bottom,0.000000
C9,86.1400,-104.7800,Bottom,0.000000
C10,186.1400,-89.2800,Bottom,0.000000
C11,190.9750,-118.4050,Bottom,0.000000
C12,238.4010,-99.0020,Bottom,0.000000
C13,119.3500,-109.5000,Bottom,0.000000
C14,56.5000,-104.0000,Bottom,0.000000
C15,177.9000,-114.3200,Bottom,0.000000
C16,181.6140,-119.8040,Bottom,0.000000
C17,171.5470,-121.3460,Bottom,0.000000
C18,229.6520,-90.7850,Bottom,0.000000
C19,194.5750,-118.4050,Bottom,0.000000
C20,122.1500,-109.5000,Bottom,0.000000
C21,58.9250,-105.4000,Bottom,0.000000
C22,120.7500,-111.9250,Bottom,0.000000
C23,165.1000,-119.8500,Bottom,0.000000
C24,168.7000,-119.8500,Bottom,0.000000
R1,116.9250,-110.9000,Bottom,0.000000
R2,116.9250,-108.1000,Bottom,0.000000
R3,55.1000,-106.4250,Bottom,0.000000
R4,54.0750,-102.6000,Bottom,0.000000
R5,170.8540,-114.5260,Bottom,0.000000
R6,175.7960,-111.4450,Bottom,0.000000
R7,105.7150,-104.7800,Bottom,0.000000
R8,207.1350,-90.7800,Bottom,0.000000
R9,229.3000,-88.0000,Bottom,0.000000
R10,229.6520,-85.2150,Bottom,0.000000
R11,237.0390,-77.3480,Bottom,0.000000
R12,239.7970,-76.8220,Bottom,0.000000
R13,188.9400,-89.2800,Bottom,0.000000
R14,187.5400,-91.7050,Bottom,0.000000
R15,183.7150,-90.6800,Bottom,0.000000
R16,183.7150,-87.8800,Bottom,0.000000
D1,50.5000,-64.0000,Top,0.000000
D2,65.5000,-64.0000,Top,0.000000
D3,80.5000,-64.0000,Top,0.000000
D4,95.5000,-64.0000,Top,0.000000
D5,110.5000,-64.0000,Top,0.000000
D6,125.5000,-64.0000,Top,0.000000
D7,140.5000,-64.0000,Top,0.000000
D8,155.5000,-64.0000,Top,0.000000
D9,50.5000,-76.0000,Top,0.000000
D10,65.5000,-76.0000,Top,0.000000
D11,80.5000,-76.0000,Top,0.000000
D12,95.5000,-76.0000,Top,0.000000
D13,110.5000,-76.0000,Top,0.000000
D14,125.5000,-76.0000,Top,0.000000
D15,140.5000,-76.0000,Top,0.000000
D16,155.5000,-76.0000,Top,0.000000
D17,50.5000,-88.0000,Top,0.000000
D18,65.5000,-88.0000,Top,0.000000
D19,80.5000,-88.0000,Top,0.000000
D20,95.5000,-88.0000,Top,0.000000
D21,110.5000,-88.0000,Top,0.000000
D22,125.5000,-88.0000,Top,0.000000
D23,140.5000,-88.0000,Top,0.000000
D24,155.5000,-88.0000,Top,0.000000
D25,195.5000,-76.0000,Top,0.000000
D26,210.5000,-76.0000,Top,0.000000
D27,225.5000,-76.0000,Top,0.000000
D28,240.5000,-76.0000,Top,0.000000
J1,119.2500,-120.4550,Top,0.000000
J2,151.3200,-120.1300,Top,0.000000
J3,58.7500,-117.0550,Top,0.000000
J4,215.2500,-117.0550,Top,0.000000
J5,119.0000,-95.5000,Top,0.000000
SW1,146.9500,-103.3000,Top,0.000000
SW2,154.9500,-103.3000,Top,0.000000
U1,176.1000,-117.4375,Top,0.000000
U2,190.9750,-118.4050,Top,0.000000
U3,103.2875,-103.3750,Top,0.000000
U4,204.7125,-89.3750,Top,0.000000
U5,86.1375,-104.7750,Top,0.000000
U6,186.1375,-89.2750,Top,0.000000
U7,240.5000,-88.0000,Top,90.000000
U8,119.3500,-109.5000,Top,0.000000
U9,56.5000,-104.0000,Top,0.000000
Y1,165.1000,-119.8500,Top,0.000000
